ID,Region,Z_Score,Abs_Z,Voxels
6221,Region_6221,1.9135842551001347,1.9135842551001347,333
5201,Region_5201,1.905877219395543,1.905877219395543,979
9021,Region_9021,1.8192201057334216,1.8192201057334216,46
5002,Region_5002,1.7865171717114379,1.7865171717114379,592
6201,Region_6201,1.7687933969299487,1.7687933969299487,737
4021,Region_4021,1.764566130709326,1.764566130709326,135
7021,Region_7021,1.689100815742648,1.689100815742648,86
7011,Region_7011,1.68298464861475,1.68298464861475,295
4022,Region_4022,1.6337296602312026,1.6337296602312026,106
9120,Region_9120,1.6211033859585502,1.6211033859585502,174
7012,Region_7012,1.6069364750713568,1.6069364750713568,316
9061,Region_9061,1.5836714669148408,1.5836714669148408,561
5202,Region_5202,1.4999124959081944,1.4999124959081944,612
7022,Region_7022,1.498662462867367,1.498662462867367,77
5022,Region_5022,1.4717359706657756,1.4717359706657756,665
6301,Region_6301,1.4607084098630496,1.4607084098630496,1037
9110,Region_9110,1.4526546045100786,1.4526546045100786,64
9051,Region_9051,1.4509418548112196,1.4509418548112196,182
5301,Region_5301,1.4479581335449303,1.4479581335449303,270
9160,Region_9160,1.3678116066262012,1.3678116066262012,57
6222,Region_6222,1.3667442557086171,1.3667442557086171,540
8111,Region_8111,1.364225449594846,1.364225449594846,728
4011,Region_4011,1.3390534872113058,1.3390534872113058,578
4012,Region_4012,1.3172778701313097,1.3172778701313097,624
2301,Region_2301,1.253202303908183,1.253202303908183,293
6211,Region_6211,1.253091315856864,1.253091315856864,369
5021,Region_5021,1.2515925865480366,1.2515925865480366,588
9031,Region_9031,1.2493117543168477,1.2493117543168477,365
6302,Region_6302,1.2358638827574868,1.2358638827574868,956
9022,Region_9022,1.2197308555297175,1.2197308555297175,63
5011,Region_5011,1.1941235186349168,1.1941235186349168,460
6202,Region_6202,1.1905450055948563,1.1905450055948563,387
9082,Region_9082,1.1842795549361163,1.1842795549361163,55
5102,Region_5102,1.1797423301604393,1.1797423301604393,419
5402,Region_5402,1.167269536811677,1.167269536811677,747
9072,Region_9072,1.1639848246908329,1.1639848246908329,242
5012,Region_5012,1.1639594224202847,1.1639594224202847,381
8201,Region_8201,1.1590800103397485,1.1590800103397485,1453
6212,Region_6212,1.1531848165136458,1.1531848165136458,581
9052,Region_9052,1.1489324959558072,1.1489324959558072,165
2332,Region_2332,1.145757330130615,1.145757330130615,401
5101,Region_5101,1.1433469567984835,1.1433469567984835,406
9032,Region_9032,1.122357760239759,1.122357760239759,257
4101,Region_4101,1.1196948134242288,1.1196948134242288,280
2331,Region_2331,1.1142676884246454,1.1142676884246454,287
7101,Region_7101,1.1088014646992534,1.1088014646992534,345
9071,Region_9071,1.1070464945378036,1.1070464945378036,252
9150,Region_9150,1.0962396922887296,1.0962396922887296,65
3001,Region_3001,1.0926426314183348,1.0926426314183348,538
6101,Region_6101,1.0807640620263934,1.0807640620263934,592
9081,Region_9081,1.0632963666336894,1.0632963666336894,43
9042,Region_9042,1.0605026058493772,1.0605026058493772,528
8102,Region_8102,1.0276370241716624,1.0276370241716624,72
8202,Region_8202,1.0208682631538284,1.0208682631538284,1343
7102,Region_7102,1.012446607720212,1.012446607720212,335
9100,Region_9100,0.9796662113487017,0.9796662113487017,14
8112,Region_8112,0.9487939822337552,0.9487939822337552,914
5001,Region_5001,0.9399203564489287,0.9399203564489287,693
9062,Region_9062,0.9394451216477789,0.9394451216477789,683
5302,Region_5302,0.9195353550381071,0.9195353550381071,288
7002,Region_7002,0.870082016027524,0.870082016027524,300
2302,Region_2302,0.8612159951851569,0.8612159951851569,406
4002,Region_4002,0.8512152470175547,0.8512152470175547,373
8212,Region_8212,0.8137936199734969,0.8137936199734969,350
7001,Region_7001,0.7871874630767558,0.7871874630767558,298
6001,Region_6001,0.7816569784820522,0.7816569784820522,1148
9041,Region_9041,0.7358572088935272,0.7358572088935272,514
8101,Region_8101,0.699048415431819,0.699048415431819,59
8211,Region_8211,0.6897762622031846,0.6897762622031846,225
4102,Region_4102,0.6725112785432138,0.6725112785432138,270
3002,Region_3002,0.6701795809615297,0.6701795809615297,510
2311,Region_2311,0.6699581346261473,0.6699581346261473,786
5401,Region_5401,0.6664148896982928,0.6664148896982928,666
2001,Region_2001,0.6338630562770858,0.6338630562770858,1038
4202,Region_4202,0.5985391800721832,0.5985391800721832,80
